team_names,img_refs,bg_colours,text_colours
OpTic Gaming,62058299eef09.png,#94cc51,#000
The Guard,61855ee4635e2.png,#061c26,#FFF
Cloud9,60cedb25c2016.png,#048cdd,#FFF
XSET,5f9725636681d.png,#f40c34,#FFF
Version1,6028427b5bbd6.png,#9444fc,#FFF
Luminosity,5f36ec1f4ab21.png,#10344c,#FFF
Sentinels,60cedc3d59613.png,#cc0434,#FFF
Knights,604022f368433.png,#050404,#FFF
100 Thieves,603c00d5c5a08.png,#1c1c1c,#FFF
NRG Esports,5f7b9ff821d6d.png,#040404,#FFF
Evil Geniuses,6011e22fc5be3.png,#0c1424,#FFF
FaZe Clan,61f6178e64260.png,#e92424,#FFF
G2 Esports,5f3cbb213e5de.png,#c9c3c2,#000
Team Liquid,60cedbff184c0.png,#0d1524,#FFF
FunPlus Phoenix,5feab33100c1d.png,#fc0c04,#FFF
Fnatic,60cedbc18c17e.png,#fc5c04,#000
Guild Esports,6279315a0b968.png,#0e1930,#FFF
M3 Champions,623a7205494a6.png,#141414,#FFF
Natus Vincere,60dc477d2d34f.png,#fbeb04,#000
BBL Esports,60df0bf7993ab.png,#311c42,#FFF
OG LDN UTD,627933e934a47.png,#061f49,#FFF
Acend,611a8c6dc5dac.png,#643cec,#FFF
BIG,5f1362059d3ce.png,#060606,#FFF
SuperMassive Blaze,61e371c4e86b9.png,#f12404,#FFF
LOUD,61c2286d2221b.png,#04fc04,#000
Ninjas In Pyjamas,600f8bb766cb7.png,#040404,#FFF
Keyd Stars,5f74a3536c9eb.png,#dcb249,#000
FURIA,600e14f63980b.png,#040404,#FFF
Gamelanders Blue,61b993d51442e.png,#040434,#FFF
TBK Esports,61d39894f3d3a.png,#191a1f,#FFF
Liberty ,60cecd6a853ad.png,#04041c,#FFF
INGAMING Esports,61e3c143b140d.png,#3af8f0,#000
Team Vikings,609c8ce618abd.png,#dcd494,#000
Sharks Esports,60443f8490b7f.png,#161f28,#FFF
ZETA DIVISION,60e712523df78.png,#040404,#FFF
Crazy Raccoon,621b0bdf254dc.png,#0f0b0b,#FFF
IGZIST,61b3107a6a139.png,#040404,#FFF
FAV gaming,623be8f0125f2.png,#040404,#FFF
NORTHEPTION,621b0cb313b7e.png,#e3ab2a,#000
REJECT,60236bed79c86.png,#040404,#FFF
Crest Gaming,5ee896c6b8a7d.png,#0638c0,#FFF
Reignite,61a25e347eaab.png,#eb441a,#FFF
DRX,61e01b462a919.png,#5c8cfb,#000
On Sla2ers,6213ba54f41dd.png,#1c1c1c,#FFF
HolyMolly,6219ca8ab2703.png,#fc0424,#FFF
DAMWON Gaming,601b3c37a5221.png,#5abcbf,#000
Maru Gaming,61ffa4ef984cf.png,#e4141c,#FFF
World Game Star,601855fd9ecfd.png,#cc1c1c,#FFF
Team T5,6209267aea507.png,#100f0c,#FFF
Desperado,6209262939441.png,#0e0c0d,#FFF
KRÜ Esports,609c5ef42f997.png,#fc1c8c,#000
Leviatán,61b8888cc3860.png,#6cacdc,#000
E-Xolos LAZER,61b99c67aebb0.png,#d10e1b,#FFF
FUSION,61dd0fe98795a.png,#0ba6f5,#000
Paper Rex,5f60f06061ca7.png,#040404,#FFF
XERXIA Esports,61e40deb3eb5d.png,#fb048c,#FFF
BLEED,619253e875d82.png,#b9242a,#FFF
BOOM Esports,62384d905b5bc.png,#b21e2c,#FFF
Persija Esports,624570612c625.png,#d93c12,#FFF
FULL SENSE,5fc4d9a75d08c.png,#f95804,#000
Made in Thailand,61e3b79b2cc50.png,#bc9454,#000
South Built Esports,623bdce118146.png,#a47c04,#000
CERBERUS Esports,6075d24931b2b.png,#ec3741,#FFF
Bonkers,62515c2016c6c.png,#35170b,#FFF
ONIC G,621b04181f4b1.png,#040404,#FFF
Velocity Gaming,619239ec98482.png,#e1e1e2,#000
Action PH,6229d6ad0d053.png,#c9c9c9,#000
Griffin E-Sports,622c9da8398a7.png,#d9b37a,#000
Team Big BAAM,622c9ef0ac739.png,#e40444,#FFF
Global Esports,622c9d211932b.png,#ec1c24,#FFF
ORDER,61e67e92318c9.png,#8c04e4,#FFF
Mindfreak,5f2e15bde14dd.png,#1e1e1e,#FFF
REIGN,6266439833bb3.png,#f4ac3c,#000
Funcrew,5fba3c30b5887.png,#372f30,#FFF
HONEY BADGERS,627a19734a95b.png,#e9ae2c,#000
MEOW MEOW,vlr.png,#ec5c6c,#000
